,available,five_day_dollar_price,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost
888,0.046511627906976744,1400.0,14883807,0.78,False,De Baarsjes - Oud-West,52.35942,4.85676,Entire home/apt,4,2,4,8,256.0,2,1125,True,0,0,4.93,False,64.0,512.0,0.05,0.14,0.2,4.99
889,0.019178082191780823,767.7671232876712,14884660,1.0,True,Bijlmer-Oost,52.32027,4.96463,Entire home/apt,4,2,2,1,125.0,3,11,True,2,1,4.91,False,31.25,375.0,0.06,0.06,0.18,4.99
890,0.43561643835616437,425.0,14890435,0.0,False,Oostelijk Havengebied - Indische Buurt,52.3639,4.93747,Entire home/apt,4,2,2,1,85.0,28,60,True,0,0,4.67,False,21.25,2380.0,0.07,0.09,0.14,4.99
891,0.03287671232876712,989.7945205479452,15005354,0.71,False,Buitenveldert - Zuidas,52.30863,4.8669,Entire home/apt,6,3,4,9,195.0,4,21,True,0,0,5.0,False,32.5,780.0,0.09,0.13,0.2,4.99
892,0.3856749311294766,509.3801652892562,15013026,1.0,True,Westerpark,52.3891,4.8905,Entire home/apt,2,1,2,8,102.0,3,1125,True,3,9,4.93,False,51.0,306.0,0.06,0.16,0.19,4.99
893,0.6109589041095891,475.0,15018653,1.0,False,Osdorp,52.37994,4.74848,Entire home/apt,3,2,3,7,95.0,3,90,True,0,2,4.56,True,31.67,285.0,0.05,0.1,0.17,4.99
894,0.4136986301369863,645.0,15024573,1.0,False,Slotervaart,52.35594,4.844,Entire home/apt,2,1,1,5,129.0,7,15,True,0,0,5.0,False,64.5,903.0,0.06,0.08,0.2,4.99
895,0.4712328767123288,2245.0,15038140,0.45,False,Centrum-West,52.37994,4.88759,Entire home/apt,4,2,3,17,449.0,3,1125,True,2,0,4.66,False,112.25,1347.0,0.1,0.16,0.28,10.99
896,0.0136986301369863,1145.0,15045784,1.0,False,Westerpark,52.38066,4.87215,Entire home/apt,2,1,1,8,229.0,4,4,True,5,0,4.72,False,114.5,916.0,0.06,0.18,0.21,4.99
897,0.8133971291866029,599.4976076555024,15046252,1.0,False,Slotervaart,52.36537,4.82862,Entire home/apt,2,1,1,5,110.0,3,45,True,8,4,4.75,False,55.0,330.0,0.05,0.11,0.17,4.99
